realEstate_roadAddress,realEstate_areaNumberAddress,jeonse_monthlyRent_type,realEstate_deposit,realEstate_monthly_payment,realEstate_room_size,realEstate_space_type,realEstate_occupancy_periods,realEstate_window_direction,realEstate_elevator,realEstate_building_type,realEstate_built_date
unknown,서울특별시 광진구 중곡동,,10000000,600000,"36.36㎡
평",투룸,즉시 입주,동,,단독주택,1996.07.01
unknown,서울특별시 광진구 중곡동,,5000000,450000,"36.36㎡/36.36㎡
평",투룸,즉시 입주,남,,단독주택,1992.02.14
서울특별시 광진구 긴고랑로12길 25 (중곡동),"서울특별시 광진구 중곡동 242-38, 1동",,50000000,400000,"33㎡
평",원룸(주방 분리형(1.5룸)),2023.06.15,남,,제2종근린생활시설,2017.06.26
unknown,서울특별시 광진구 중곡동,,30000000,800000,"53㎡
평",쓰리룸 이상,즉시 입주,남,,단독주택,1972.10.10
unknown,서울특별시 광진구 중곡동,,5000000,300000,"16.52㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,서,,단독주택,1996.07.01
unknown,서울특별시 광진구 중곡동,,120000000,300000,"46.28㎡
평",투룸,2023.06.30 (협의 가능),북,,단독주택,1993.09.23
unknown,서울특별시 광진구 중곡동,,30000000,450000,"19.83㎡
평",원룸(주방 분리형(1.5룸)),2023.06.19,남,,단독주택,2009.02.09
unknown,서울특별시 광진구 중곡동,,100000000,1200000,"98㎡
평",쓰리룸 이상,즉시 입주,동,,단독주택,2004.06.09
서울특별시 광진구 긴고랑로22길 11-12 (중곡동),서울특별시 광진구 중곡동 150-235,,50000000,750000,"11㎡
평",투룸,즉시 입주 (협의 가능),동,,단독주택,1993.11.04
서울특별시 광진구 면목로 67 (중곡동),서울특별시 광진구 중곡동 628-15,,50000000,800000,"42.97㎡
평",투룸,2023.07.17 (협의 가능),남,,단독주택,2013.04.30
"서울특별시 광진구 긴고랑로25길 15 (중곡동, 아름빌)",서울특별시 광진구 중곡동 149-47,,260000000,400000,"85.95㎡
평",쓰리룸 이상,2023.04.30 (협의 가능),북동,,공동주택,2020.04.09
"서울특별시 광진구 자양로53길 79 (중곡동, 대성예가)","서울특별시 광진구 중곡동 90-12, 101동",,100000000,2000000,"58.41㎡
평",쓰리룸 이상,즉시 입주,남동,,공동주택,2021.09.03
서울특별시 광진구 긴고랑로22길 11-12 (중곡동),서울특별시 광진구 중곡동 150-235,,50000000,750000,"33.05㎡
평",투룸,즉시 입주,동,,단독주택,1993.11.04
unknown,서울특별시 광진구 중곡동,,70000000,200000,"40㎡/67.85㎡
평",투룸(주방 분리형(1.5룸)),2023.06.30 (협의 가능),서,,단독주택,1993.06.11
"서울특별시 광진구 긴고랑로19길 45 (중곡동, 서원주택)",서울특별시 광진구 중곡동 33-53,,50000000,670000,"20.18㎡
평",원룸(주방 분리형(1.5룸)),2023.06.30 (협의 가능),남서,,공동주택,2013.12.20
서울특별시 광진구 천호대로119길 39 (중곡동),서울특별시 광진구 중곡동 129-13,,20000000,750000,"33.05㎡
평",투룸,2023.04.30 (협의 가능),남동,,공동주택,2013.05.03
서울특별시 광진구 긴고랑로26길 44 (중곡동),서울특별시 광진구 중곡동 53-24,,50000000,1200000,"29.82㎡/39.66㎡
평",투룸,2023.04.30 (협의 가능),남동,,공동주택,2022.10.20
"서울특별시 광진구 용마산로12길 11 (중곡동, 수빌리지)",서울특별시 광진구 중곡동 147-32,,30000000,1100000,"33.05㎡
평",투룸,즉시 입주,남,,공동주택,2023.01.30
서울특별시 광진구 동일로70길 52 (중곡동),서울특별시 광진구 중곡동 240-16,,50000000,800000,"36.36㎡/36.36㎡
평",원룸(주방 분리형(1.5룸)),2023.07.01 (협의 가능),남동,,단독주택,2015.12.14
unknown,"서울특별시 광진구 중곡동 150-253, 302호동",,20000000,500000,"30㎡
평",원룸,2023.06.30 (협의 가능),북동,,공동주택,2005.06.03
서울특별시 광진구 긴고랑로4길 46-3 (중곡동),서울특별시 광진구 중곡동 253-41,,100000000,650000,"29.93㎡/42.97㎡
평",투룸,2023.08.21,서,,단독주택,2016.11.18
서울특별시 광진구 긴고랑로29길 71 (중곡동),서울특별시 광진구 중곡동 35-15,,85000000,500000,"36.36㎡
평",투룸,2023.07.10,남동,,단독주택,1997.04.29
"서울특별시 광진구 영화사로9길 6 (중곡동, 동산그린빌)","서울특별시 광진구 중곡동 104-45, 2동",,50000000,1200000,"83.7㎡
평",쓰리룸 이상,2023.06.20 (협의 가능),남,,공동주택,2002.12.24
서울특별시 광진구 면목로 67 (중곡동),서울특별시 광진구 중곡동 628-15,,50000000,800000,"39.66㎡
평",투룸,2023.06.30 (협의 가능),북동,,제2종근린생활시설,2013.04.30
서울특별시 광진구 능동로 333-1 (중곡동),서울특별시 광진구 중곡동 647-23,,5000000,650000,"19.83㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,동,,제2종근린생활시설,1989.04.21
서울특별시 광진구 능동로48가길 9 (중곡동),서울특별시 광진구 중곡동 35-38,,20000000,450000,"36.36㎡/42.97㎡
평",투룸,2023.07.25,서,,단독주택,1995.06.01
서울특별시 광진구 능동로48길 50-10 (중곡동),서울특별시 광진구 중곡동 37-20,,50000000,500000,"39.66㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,남동,,단독주택,2019.03.20
서울특별시 광진구 긴고랑로10길 52 (중곡동),서울특별시 광진구 중곡동 257-29,,200000000,300000,"41.52㎡
평",투룸,2023.06.30 (협의 가능),남,,공동주택,2013.08.02
서울특별시 광진구 긴고랑로22길 11-22 (중곡동),서울특별시 광진구 중곡동 150-227,,20000000,770000,"39.66㎡
평",투룸,2023.07.30 (협의 가능),동,,단독주택,2005.06.27
서울특별시 광진구 면목로12길 17 (중곡동),서울특별시 광진구 중곡동 170-46,,10000000,700000,"33.05㎡
평",원룸(주방 분리형(1.5룸)),2023.06.25 (협의 가능),남서,,공동주택,2003.02.20
서울특별시 광진구 동일로76길 43 (중곡동),서울특별시 광진구 중곡동 694-4,,10000000,500000,"21㎡/21㎡
평",원룸,즉시 입주 (협의 가능),북,,단독주택,2006.06.02
서울특별시 광진구 동일로76나길 4 (중곡동),서울특별시 광진구 중곡동 695-6,,130000000,100000,"29.75㎡/33.05㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),서,,단독주택,2019.04.24
서울특별시 광진구 자양로26길 91-11 (구의동),서울특별시 광진구 구의동 222-47,,20000000,850000,"39.66㎡
평",투룸,즉시 입주,남동,,단독주택,1990.12.05
서울특별시 광진구 광나루로40길 48-6 (구의동),서울특별시 광진구 구의동 239-4,,130000000,100000,"26.44㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,남서,,단독주택,1996.12.28
서울특별시 광진구 광나루로40길 48-4 (구의동),서울특별시 광진구 구의동 239-3,,5000000,500000,"33.05㎡
평",투룸,즉시 입주,남동,,단독주택,1991.07.30
,,,,,,,,,,,
"서울특별시 광진구 자양로22길 74-7 (구의동, 온세하이츠빌)",서울특별시 광진구 구의동 242-25,,350000000,60000,"59.5㎡
평",쓰리룸 이상,2023.07.30 (협의 가능),동,,공동주택,2017.09.29
서울특별시 광진구 아차산로53길 52 (구의동),서울특별시 광진구 구의동 257-90,,20000000,950000,"33.05㎡
평",원룸(주방 분리형(1.5룸)),2023.05.31 (협의 가능),남동,,단독주택,2020.11.20
서울특별시 광진구 자양로26길 61-14 (구의동),서울특별시 광진구 구의동 240-19,,80000000,150000,"19.83㎡/23.14㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),동,,단독주택,1997.12.17
서울특별시 광진구 아차산로61길 24 (구의동),서울특별시 광진구 구의동 210-63,,20000000,600000,"23.14㎡
평",원룸(주방 분리형(1.5룸)),2023.07.03 (협의 가능),동,,단독주택,2008.08.22
서울특별시 광진구 아차산로51길 36-10 (구의동),서울특별시 광진구 구의동 257-60,,5000000,400000,"23㎡/23㎡
평",원룸(주방 분리형(1.5룸)),즉시 입주,서,,단독주택,1989.12.29
서울특별시 광진구 아차산로53길 60 (구의동),서울특별시 광진구 구의동 248-43,,20000000,750000,"38.28㎡/42.97㎡
평",투룸(주방 분리형(1.5룸)),즉시 입주 (협의 가능),남,,공동주택,1986.09.22
"서울특별시 광진구 자양로29길 21 (구의동, 현대빌라)",서울특별시 광진구 구의동 634-4,,10000000,450000,"39.84㎡
평",투룸,즉시 입주,남동,,공동주택,1993.03.05
서울특별시 광진구 광나루로40길 43 (구의동),서울특별시 광진구 구의동 225-18,,50000000,1200000,"66.11㎡/82.64㎡
평",쓰리룸 이상,2023.05.31,남서,,공동주택,2015.07.24
서울특별시 광진구 자양로28가길 18 (구의동),서울특별시 광진구 구의동 237-26,,230000000,300000,"42.97㎡
평",투룸,즉시 입주 (협의 가능),서,,단독주택,2018.07.30
